composer,playlist title,performer,date accessed,url
Mozart,Mozart,Mozart,Mozart,Mozart
Beethoven,Beethoven piano sonatas complete - Daniel Barenboim,Daniel Barenboim,2022-05-21,https://www.youtube.com/playlist?list=PLW9Nl3YHfwUpgh1GCoh2qPrzwzGDLQ6UF
Haydn,HAYDN PIANO SONATAS BUCHBINDER,Rudolph Buchbinder,2022-05-21,https://www.youtube.com/playlist?list=PLyPTjSogIU3nMIfkVBOGfL-HrTIfgEQQ-
Czerny,"Martin Jones - Czerny: Piano Sonatas, Vol. 1 / Martin Jones Full Album",Martin Jones,2022-06-01,https://www.youtube.com/playlist?list=PLRN_myUiwWbOdFIyhvUsErbHozJD1oP_U
Czerny,"Martin Jones - Czerny: Piano Sonatas, Vol. 2 / Martin Jones Full Album ",Martin Jones,2022-06-01,https://www.youtube.com/playlist?list=PLKUa9xXlfWwuIvxZpZUyrdQGXjaEeS50Q
Czerny,"Martin Jones - Czerny: Piano Sonatas, Vol. 3 / Martin Jones Full Album",Martin Jones,2022-06-01,https://www.youtube.com/playlist?list=PLI6cm3vCV31Uq02D7cR-3foaiWZI5AYBx
Clementi,"Clementi: Complete Sonatas for Fortepiano, Vol. 1",Costantino Mastroprimiano,2023-01-17,https://www.youtube.com/playlist?list=OLAK5uy_mjsEA6KZWYTWqViXdSs81-uxmXma46u_Y
Clementi,"Clementi: Complete Sonatas for Fortepiano, Vol. 2",Costantino Mastroprimiano,2023-01-17,https://www.youtube.com/playlist?list=OLAK5uy_nFg4n19F53NbQ2YRFCPlsUgj-lV2GcAPw
Clementi,"Clementi: Complete Sonatas for Fortepiano, Vol. 3",Costantino Mastroprimiano,2023-01-17,https://www.youtube.com/playlist?list=OLAK5uy_mDrWq0vFQFCLn_DmsqXRW6h3hCcuz2Xi0
